Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
262,Djibouti,414,441,501,588,688,699,752,726,717,786,839,853,867,857,880,868,872,832,818,783,774,768,783,780,821,808,771,743,731,766,775,788,799,827,864,905,965,1.048,1.186,1.211,1.254,1.334,1.424,1.553,1.742,1.873,2.007
212,Dominica,324,360,386,443,525,551,533,587,721,701,930,1.041,1.136,1.267,1.435,1.586,1.819,2.058,2.406,2.604,2.794,2.967,3.202,3.335,3.578,3.639,3.935,4.105,4.374,4.539,4.612,4.709,4.635,4.812,5.325,5.245,5.618,6.042,6.600,7.005,6.912,6.991,6.746,6.933,7.195,7.314,7.907
214,Dominican Republic,413,450,523,600,729,875,936,1.061,1.069,1.212,1.428,1.530,1.640,1.736,2.040,866,1.026,940,841,1.188,1.326,1.347,1.532,1.706,1.818,1.995,2.127,2.407,2.516,2.594,2.798,2.898,2.905,2.274,2.442,3.844,4.048,4.606,4.946,4.921,5.368,5.759,5.969,6.027,6.269,6.468,6.722
218,Ecuador,471,441,495,588,970,1.106,1.266,1.495,1.574,1.823,2.241,2.664,2.373,1.992,1.916,1.895,1.651,1.467,1.340,1.392,1.491,1.623,1.689,1.729,2.027,2.135,2.158,2.360,2.299,1.584,1.451,1.904,2.184,2.440,2.709,3.022,3.351,3.591,4.275,4.256,4.657,5.223,5.702,6.074,6.432,6.205,5.982
818,Egypt,232,241,252,256,296,324,374,466,558,363,456,298,340,398,442,474,480,516,547,586,627,667,763,826,905,1.032,1.139,1.233,1.293,1.339,1.369,1.274,1.192,1.001,1.050,1.230,1.378,1.662,2.036,2.279,2.552,2.690,3.115,2.988,3.235,3.388,2.823
222,El Salvador,280,287,299,337,389,432,538,662,697,765,779,743,759,847,960,1.164,816,916,1.069,1.243,914,997,1.103,1.267,1.458,1.693,1.819,1.944,2.078,2.140,2.238,2.339,2.408,2.520,2.633,2.835,3.063,3.305,3.507,3.366,3.474,3.737,3.828,3.896,3.989,4.127,4.224
226,Equatorial Guinea,68,72,71,94,105,134,144,163,186,208,218,194,214,223,209,246,298,349,372,333,398,389,445,424,339,427,649,1.200,967,1.555,2.459,3.451,4.077,5.324,7.755,11.250,12.732,15.762,22.742,16.530,17.136,21.452,21.558,20.247,19.246,10.717,8.742
232,Eritrea,,,,,,,,,,,,,,,,,,,,,107,123,140,163,204,207,240,247,251,240,208,215,202,233,287,277,298,317,326,431,482,583,678,753,854,987,1.093
233,Estonia,,,,,,,,,,,,,,,,,,,,,3.589,3.450,2.832,2.793,2.855,3.086,3.346,3.594,3.991,4.085,4.067,4.487,5.295,7.163,8.844,10.330,12.579,16.541,18.038,14.718,14.640,17.442,17.392,19.021,19.892,17.157,17.782
231,Ethiopia,,,,,,,,,,,,,,,,,,,,,233,257,198,138,129,132,139,140,123,113,121,116,109,117,133,159,190,234,308,330,300,338,457,490,556,632,687
